dia_semana_num;dia_semana;hora;conversas;pct_resolvido_bot;pct_fila_abandonada
5;Thursday;7;186;30.1;3.8
5;Thursday;8;369;24.7;4.3
5;Thursday;9;342;24.9;4.7
5;Thursday;10;405;23.2;5.2
5;Thursday;11;426;25.1;3.3
5;Thursday;12;403;28.3;3.5
5;Thursday;13;408;23.3;3.2
5;Thursday;14;446;23.3;4.0
5;Thursday;15;372;23.7;4.8
5;Thursday;16;324;26.2;4.3
5;Thursday;17;298;21.8;3.7
5;Thursday;18;295;23.4;3.1
5;Thursday;19;273;26.0;5.5
5;Thursday;20;154;20.8;4.5
5;Thursday;21;125;23.2;2.4
5;Thursday;22;69;23.2;2.9
5;Thursday;23;81;23.5;4.9
6;Friday;0;55;32.7;7.3
6;Friday;1;45;22.2;2.2
6;Friday;2;42;16.7;4.8
6;Friday;3;41;22.0;7.3
6;Friday;4;159;27.7;2.5
6;Friday;5;173;28.9;1.7
6;Friday;6;174;24.7;2.3
6;Friday;7;168;25.0;3.0
6;Friday;8;304;24.3;4.6
6;Friday;9;314;25.2;3.5
6;Friday;10;387;26.4;3.4
6;Friday;11;414;26.3;5.6
6;Friday;12;365;27.4;4.1
6;Friday;13;378;24.9;5.6
6;Friday;14;355;22.3;3.1
6;Friday;15;370;24.1;5.4
6;Friday;16;296;26.0;4.1
6;Friday;17;250;24.8;5.6
6;Friday;18;250;22.8;4.4
6;Friday;19;244;21.3;4.1
6;Friday;20;112;19.6;10.7
6;Friday;21;114;27.2;3.5
6;Friday;22;74;17.6;2.7
6;Friday;23;75;26.7;2.7
7;Saturday;0;38;28.9;2.6
7;Saturday;1;32;21.9;0.0
7;Saturday;2;40;27.5;0.0
7;Saturday;3;38;28.9;5.3
7;Saturday;4;86;34.9;5.8
7;Saturday;5;115;28.7;2.6
7;Saturday;6;121;15.7;8.3
7;Saturday;7;107;21.5;2.8
7;Saturday;8;219;25.6;4.1
7;Saturday;9;201;27.9;3.5
7;Saturday;10;246;24.8;4.1
7;Saturday;11;250;26.4;3.6
7;Saturday;12;255;24.3;4.7
7;Saturday;13;243;24.7;4.5
7;Saturday;14;255;30.6;3.1
7;Saturday;15;253;26.1;4.0
7;Saturday;16;191;24.6;7.3
7;Saturday;17;155;21.3;5.2
7;Saturday;18;178;23.6;3.9
7;Saturday;19;139;20.9;5.8
7;Saturday;20;76;25.0;9.2
7;Saturday;21;78;24.4;3.8
7;Saturday;22;44;31.8;4.5
7;Saturday;23;41;24.4;9.8
