data_ref;dia_semana;conversas;pct_resolvido_bot;pct_negativo;csat_medio
2026-06-24;Wednesday;187;19.3;28.3;3.47
2026-06-25;Thursday;209;21.1;26.8;3.83
2026-06-26;Friday;189;24.3;23.3;3.76
2026-06-27;Saturday;136;22.8;33.8;3.64
2026-06-28;Sunday;112;21.4;32.1;3.73
2026-06-29;Monday;248;22.2;27.8;3.81
2026-06-30;Tuesday;227;24.7;29.5;3.69
2026-07-01;Wednesday;235;18.3;32.3;3.7
2026-07-02;Thursday;211;25.1;26.1;3.54
2026-07-03;Friday;190;23.7;30.0;3.69
2026-07-04;Saturday;167;25.7;24.0;3.66
2026-07-05;Sunday;132;26.5;22.7;3.78
2026-07-06;Monday;298;22.8;26.5;3.68
2026-07-07;Tuesday;283;21.9;32.9;3.5
2026-07-08;Wednesday;220;25.9;27.3;3.87
2026-07-09;Thursday;251;17.9;29.1;3.61
2026-07-10;Friday;240;21.7;34.6;3.62
2026-07-11;Saturday;132;24.2;30.3;3.62
2026-07-12;Sunday;103;26.2;24.3;3.71
2026-07-13;Monday;262;23.3;28.2;3.68
2026-07-14;Tuesday;226;23.0;23.9;3.89
2026-07-15;Wednesday;234;20.1;29.5;3.68
2026-07-16;Thursday;223;20.6;31.4;3.57
2026-07-17;Friday;196;26.0;29.6;3.89
2026-07-18;Saturday;132;21.2;27.3;3.13
2026-07-19;Sunday;124;26.6;30.6;3.59
2026-07-20;Monday;246;22.0;27.2;3.65
2026-07-21;Tuesday;247;18.6;30.8;3.87
2026-07-22;Wednesday;209;26.8;22.5;3.56
2026-07-23;Thursday;218;23.9;30.7;3.55
2026-07-24;Friday;191;26.7;34.6;3.32
2026-07-25;Saturday;132;23.5;34.1;4.05
2026-07-26;Sunday;113;30.1;31.0;3.42
2026-07-27;Monday;286;22.0;28.7;3.82
2026-07-28;Tuesday;252;29.8;27.0;3.8
2026-07-29;Wednesday;223;19.3;33.6;3.7
2026-07-30;Thursday;318;23.3;22.0;3.77
2026-07-31;Friday;189;19.6;29.6;3.52
2026-08-01;Saturday;149;23.5;25.5;3.86
2026-08-02;Sunday;108;24.1;23.1;3.87
2026-08-03;Monday;264;21.6;31.4;3.77
2026-08-04;Tuesday;269;23.4;26.4;3.74
2026-08-05;Wednesday;298;18.8;30.2;3.56
2026-08-06;Thursday;271;22.1;29.9;3.68
2026-08-07;Friday;228;24.6;27.6;3.92
2026-08-08;Saturday;152;15.8;33.6;3.66
2026-08-09;Sunday;145;17.9;23.4;3.39
2026-08-10;Monday;309;24.6;28.2;3.84
2026-08-11;Tuesday;229;23.6;26.6;3.73
2026-08-12;Wednesday;240;22.9;31.7;3.87
2026-08-13;Thursday;222;23.9;23.9;3.9
2026-08-14;Friday;195;19.5;29.7;3.71
2026-08-15;Saturday;157;27.4;27.4;3.84
2026-08-16;Sunday;107;26.2;25.2;3.78
2026-08-17;Monday;263;23.2;30.0;4.01
