id_conversa;id_cliente;contatos_previos;reabertura;idioma;segmento_cliente;origem_contato;categoria_assunto;categoria_prevista;area_prevista
CONV-012423;CLI-F82623804102;0;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-012446;CLI-D528FB88C7E3;4;True;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012542;CLI-5DF2CF05B9F1;0;False;EN;CDE;Ativo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012424;CLI-88688713895B;3;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012455;CLI-79C95FBF6AB9;2;False;EN;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012470;CLI-AF8A0002EEFB;0;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012534;CLI-C49CEBEEA471;1;True;EN;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012428;CLI-49DF31E6D4E3;0;False;ES;CDE;Ativo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012585;CLI-AA2ADF04AFA8;2;False;EN;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-012413;CLI-D00FA3962A8F;10;False;PT;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-012516;CLI-E2762C560BB3;3;True;ES;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012463;CLI-42ED64B02552;3;False;PT;Correntista Nacional;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012510;CLI-70F115F8247D;0;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-012467;CLI-03E2C7F17810;2;True;PT;Correntista Nacional;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012442;CLI-8ACA630997E3;0;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-012556;CLI-6F8E36CBCB84;1;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012397;CLI-0F43F30B6537;0;False;PT;Correntista Nacional;Ativo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012558;CLI-011DD5C8573E;0;False;EN;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012517;CLI-FD870629D7B5;0;False;PT;Correntista Nacional;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012522;CLI-E8DACF876750;1;False;PT;Correntista Nacional;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012582;CLI-C91B2B997814;2;True;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012526;CLI-EF5152AC8E63;1;False;PT;Correntista Nacional;Ativo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012557;CLI-B52326A73EDF;0;False;PT;Correntista Nacional;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012506;CLI-D2DCCDF6A17B;1;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-012530;CLI-92E582091FB0;2;False;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012502;CLI-DE5581CF77BC;5;False;PT;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-012515;CLI-7768E77328A0;3;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012498;CLI-AC05B4D8202B;0;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012565;CLI-BEC8BED3A3BB;1;True;EN;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012505;CLI-C2AB5D5021AC;1;False;EN;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012398;CLI-EC7B87BD439F;2;False;PT;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012400;CLI-D550D218E187;1;False;ES;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-012514;CLI-CDB716E6F575;1;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-012430;CLI-6500647602A0;0;False;EN;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-012563;CLI-F4F197D05788;0;False;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012529;CLI-FFF2AACDF8E1;1;False;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-012425;CLI-A4B4B3805144;1;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012409;CLI-3C36EFDC653A;7;True;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-012451;CLI-BAB24B933A7C;0;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002433;CLI-0DF5EB82597C;1;True;PT;Correntista Nacional;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002536;CLI-FE4BE13EB7F5;0;False;PT;Correntista Nacional;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002395;CLI-020D37BD0B51;0;False;ES;CDE;Ativo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002418;CLI-84EC48BD5C2E;0;False;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002361;CLI-C91B2B997814;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002304;CLI-0163AD8802CB;2;True;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002340;CLI-D2DCCDF6A17B;0;False;PT;Correntista Nacional;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002326;CLI-D0E11034D693;0;False;EN;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-002367;CLI-1D3A49EE538A;1;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002530;CLI-AA0FECAD751E;1;True;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002331;CLI-60340378BF6A;0;False;PT;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002347;CLI-B905F57E5F03;0;False;PT;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002422;CLI-040DAAAF13D7;1;False;PT;Correntista Nacional;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-002372;CLI-AEF04FF9CC7D;0;False;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002404;CLI-29A539AAB733;0;False;PT;CDE;Ativo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002548;CLI-BB8CE8B92181;3;False;ES;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002376;CLI-D9A3A720C06C;1;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002535;CLI-B250EED625B8;0;False;PT;Correntista Nacional;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002310;CLI-BDCFDB87CEC4;0;False;ES;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002547;CLI-9B8E26595112;0;False;ES;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002431;CLI-8A27EC647294;0;False;EN;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002487;CLI-8B4855A930A8;0;False;EN;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002517;CLI-D31B1A47A8EE;0;False;EN;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-002459;CLI-7DC7D1F987D9;0;False;EN;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002309;CLI-7365FFCCEC6B;0;False;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002429;CLI-02D91D9D2EBC;0;False;ES;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002355;CLI-F906FFAA3D0A;0;False;PT;CDE;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-002492;CLI-16C2EB49AD0C;1;False;PT;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002311;CLI-D297EDA3CBB5;1;True;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002419;CLI-0353577472A2;0;False;EN;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002407;CLI-41B0CA316ED9;0;False;EN;CDE;Ativo;Cambio;Cambio;Cambio/Backoffice
CONV-002350;CLI-DE563508CCE4;0;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002499;CLI-21810C6D53E6;2;False;EN;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002524;CLI-398444060FFB;0;False;PT;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-002315;CLI-C63D43009A5F;0;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002341;CLI-8820D9A04AA8;0;False;PT;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002401;CLI-2928648D4DE9;0;False;PT;CDE;Ativo;Disparo Ativo;Disparo Ativo;
CONV-002456;CLI-7755F404E9AC;0;False;EN;Correntista Nacional;Ativo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002358;CLI-5D9F2E8981AC;0;False;PT;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-002402;CLI-37F77C3CCE93;0;False;PT;Correntista Nacional;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002390;CLI-AE99854957F8;0;False;EN;CDE;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002348;CLI-45EAE6618957;0;False;PT;CDE;Receptivo;Saldo e Extrato;Saldo e Extrato;Backoffice
CONV-002500;CLI-278AF895A223;0;False;PT;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002449;CLI-2D3DF1FC18C0;0;False;EN;CDE;Receptivo;Primeiro Acesso;Primeiro Acesso;Suporte Tecnico
CONV-002381;CLI-59201A98B519;0;False;EN;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002399;CLI-A2710BDF4390;2;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002374;CLI-6D7EA8B04AC8;1;False;ES;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-002529;CLI-F1225C5AF4F7;0;False;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002324;CLI-2D54A0BB2369;0;False;PT;CDE;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-002552;CLI-5D96457F8B01;1;False;EN;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-002426;CLI-CD42AAEBD94D;1;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002523;CLI-80A771FF7C46;0;False;PT;Correntista Nacional;Receptivo;Cartao de Credito;Cartao de Credito;Cartoes
CONV-002400;CLI-AECAAC111AAC;1;False;PT;CDE;Receptivo;Onboarding - Documentacao;Onboarding - Documentacao;Cadastro/Onboarding
CONV-002318;CLI-D528FB88C7E3;1;False;EN;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
CONV-002388;CLI-6312E03E713C;0;False;EN;Correntista Nacional;Receptivo;Bloqueio TED/PIX;Bloqueio TED/PIX;Prevencao a Fraude
CONV-012204;CLI-2D1AD22D352F;0;False;PT;CDE;Receptivo;Ruido / Nao-atendimento;Ruido / Nao-atendimento;
CONV-012249;CLI-2CE6008C5895;1;False;EN;CDE;Receptivo;Alteracao de Limites;Alteracao de Limites;Mesa de Limites
CONV-012339;CLI-80A132D55801;1;True;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012320;CLI-BDF4232BE751;1;False;EN;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012215;CLI-4CB69D5D7014;3;True;PT;CDE;Receptivo;Termos e Documentacao BR;Termos e Documentacao BR;Cadastro/Onboarding
CONV-012375;CLI-3E48DDA923C0;0;False;PT;Correntista Nacional;Receptivo;Investimentos CDB;Investimentos CDB;Investimentos
CONV-012225;CLI-D203B15084B1;4;True;PT;CDE;Receptivo;Cambio;Cambio;Cambio/Backoffice
